entityname,subtypename,typename
Pluggable look and feel,Java (programming language),Java platform
Pluggable look and feel,Java (programming language) libraries,Java platform
Pluggable look and feel,Java APIs,Java platform
Java applet,Java (programming language),Java platform
OpenJDK,Java (programming language),Java platform
OpenJDK,Free software programmed in Java (programming language),Java platform
OpenJDK,Java (programming language) libraries,Java platform
Non-blocking I/O (Java),Java (programming language),Java platform
Non-blocking I/O (Java),Java specification requests,Java platform
Oak (programming language),Java (programming language),Java platform
SwingLabs,Java (programming language),Java platform
SwingLabs,Java (programming language) libraries,Java platform
SwingLabs,Java APIs,Java platform
Sun Web Developer Pack,Java (programming language),Java platform
Javac,Java (programming language),Java platform
Swing (Java),Java (programming language),Java platform
Swing (Java),Java (programming language) libraries,Java platform
Swing (Java),Java APIs,Java platform
Abstract Window Toolkit,Java APIs,Java platform
Flying Saucer (library),Java (programming language) libraries,Java platform
Flying Saucer (library),Java APIs,Java platform
Java Bindings for OpenGL,Java specification requests,Java platform
Java Bindings for OpenGL,Java APIs,Java platform
Standard Widget Toolkit,Eclipse technology,Java platform
Standard Widget Toolkit,Eclipse software,Java platform
Standard Widget Toolkit,Java (programming language) libraries,Java platform
Standard Widget Toolkit,Java APIs,Java platform
Standard Widget Toolkit,Eclipse (software),Java platform
Java Database Connectivity,Java specification requests,Java platform
Java Database Connectivity,Java APIs,Java platform
Java Authentication and Authorization Service,Java APIs,Java platform
Java Media Framework,Java APIs,Java platform
Java 2D,Java APIs,Java platform
Java 3D,Java specification requests,Java platform
Java 3D,Java APIs,Java platform
Java Data Objects,Java specification requests,Java platform
Java Data Objects,Java APIs,Java platform
Java OpenGL,Java (programming language) libraries,Java platform
Java OpenGL,Java APIs,Java platform
Jreality,Java (programming language) libraries,Java platform
Jreality,Java APIs,Java platform
Java Secure Socket Extension,Java APIs,Java platform
EclipseLink,Eclipse technology,Java platform
EclipseLink,Eclipse software,Java platform
EclipseLink,Eclipse (software),Java platform
IBM PureQuery,Eclipse technology,Java platform
IBM PureQuery,Eclipse software,Java platform
IBM PureQuery,Eclipse (software),Java platform
Java Web Start,Java specification requests,Java platform
Metadata facility for Java,Java specification requests,Java platform
Canig?? (framework),Java specification requests,Java platform
Bean Validation,Java specification requests,Java platform
Java servlet,Java specification requests,Java platform
Java Community Process,Java specification requests,Java platform
Swing Application Framework,Java specification requests,Java platform
Da Vinci Machine,Java platform software,Java platform
Da Vinci Machine,Java specification requests,Java platform
Jasmin (software),Java programming language family,Java platform
Jasmin (software),Java specification requests,Java platform
Java Module System,Java specification requests,Java platform
Virtual Database Manager,Java specification requests,Java platform
Web Services Metadata for Java,Java specification requests,Java platform
Java Metadata Interface,Java specification requests,Java platform
"Java Platform, Micro Edition",Java specification requests,Java platform
Java Data Mining,Java specification requests,Java platform
"Java Platform, Standard Edition",Java specification requests,Java platform
J2EE Management,Java specification requests,Java platform
JDK Enhancement Proposal,Java specification requests,Java platform
"Java Platform, Enterprise Edition",Java specification requests,Java platform
FlockDB,Free software programmed in Java (programming language),Java platform
JPOS,Free software programmed in Java (programming language),Java platform
JPOS,Java (programming language) libraries,Java platform
CRaSH,Free software programmed in Java (programming language),Java platform
ND4S,Java programming language family,Java platform
ND4S,Free software programmed in Java (programming language),Java platform
ND4S,Hadoop,Java platform
ND4S,Java (programming language) libraries,Java platform
JHipster,Free software programmed in Java (programming language),Java platform
BlueJ,Free software programmed in Java (programming language),Java platform
BlueJ,Java development tools,Java platform
Deeplearning4j,Java programming language family,Java platform
Deeplearning4j,Free software programmed in Java (programming language),Java platform
Deeplearning4j,Hadoop,Java platform
Deeplearning4j,Java (programming language) libraries,Java platform
Apache PDFBox,Free software programmed in Java (programming language),Java platform
Apache PDFBox,Java (programming language) libraries,Java platform
JUnit,Free software programmed in Java (programming language),Java platform
JUnit,Java development tools,Java platform
IText,Free software programmed in Java (programming language),Java platform
IText,Java (programming language) libraries,Java platform
Play framework,Free software programmed in Java (programming language),Java platform
OGNL,Free software programmed in Java (programming language),Java platform
HtmlUnit,Free software programmed in Java (programming language),Java platform
Gremlin (programming language),Hadoop,Java platform
Apache Spark,Hadoop,Java platform
Java Object Oriented Querying,Java (programming language) libraries,Java platform
XDoclet,Java development tools,Java platform
XDoclet,Java (programming language) libraries,Java platform
Apache POI,Java (programming language) libraries,Java platform
Fjorm (software),Java (programming language) libraries,Java platform
JPedal,Java (programming language) libraries,Java platform
GNU Classpath,Java (programming language) libraries,Java platform
Xalan,Java (programming language) libraries,Java platform
ZK (framework),Java (programming language) libraries,Java platform
Akka (toolkit),Java development tools,Java platform
Lift (web framework),Java platform software,Java platform
Echo (framework),Java (programming language) libraries,Java platform
GNU Compiler for Java,Java development tools,Java platform
Spock (testing framework),Java development tools,Java platform
Sun Java Studio Creator,Java development tools,Java platform
Java API for RESTful Web Services,Java API for XML,Java platform
Java API for XML Web Services,Java API for XML,Java platform
XMLBeans,Java development tools,Java platform
Xerces,Java (programming language) libraries,Java platform
XML Object Model,Java specification requests,Java platform
Processing (programming language),Java programming language family,Java platform
Docear,Concept- and mind-mapping software programmed in Java,Java platform software
Docear,Free software programmed in Java (programming language),Java platform software
JEdit,Free software programmed in Java (programming language),Java platform software
J (text editor),Free software programmed in Java (programming language),Java platform software
RText,Free software programmed in Java (programming language),Java platform software
Modelio,Free software programmed in Java (programming language),Java platform software
DocFetcher,Free software programmed in Java (programming language),Java platform software
Ametys CMS,Free software programmed in Java (programming language),Java platform software
JasperReports,Free software programmed in Java (programming language),Java platform software
ProjectLibre,Free software programmed in Java (programming language),Java platform software
Jeti,Free software programmed in Java (programming language),Java platform software
LimeWire,Free software programmed in Java (programming language),Java platform software
VisualAp,Free software programmed in Java (programming language),Java platform software
VisualAp,Java (programming language) libraries,Java platform software
OpenNMS,Free software programmed in Java (programming language),Java platform software
Spark (XMPP client),Free software programmed in Java (programming language),Java platform software
JFreeChart,Free software programmed in Java (programming language),Java platform software
ImageJ,Free software programmed in Java (programming language),Java platform software
ImageJ,Java (programming language) libraries,Java platform software
LibrePlan,Free software programmed in Java (programming language),Java platform software
Art of Illusion,Free software programmed in Java (programming language),Java platform software
OneSwarm,Free software programmed in Java (programming language),Java platform software
TopBT,Free software programmed in Java (programming language),Java platform software
Zekr (software),Free software programmed in Java (programming language),Java platform software
Java Desktop Integration Components,Free software programmed in Java (programming language),Java platform software
